momentum_window,top_n,start,cumulative_return,cagr,mdd,sharpe,win_rate,avg_holding_days,trade_count,profit_factor,calmar,avg_drawdown_days
63,1,2022-02-17,-49.37,-14.05,-89.09,0.37,0.0,0.0,0,0.0,-0.16,20.0
63,2,2022-02-17,91.83,15.59,-71.41,0.59,0.0,0.0,0,0.0,0.22,109.6
63,3,2022-02-17,225.42,30.01,-68.36,0.72,0.0,0.0,0,0.0,0.44,79.7
126,1,2022-05-19,52.63,10.47,-85.83,0.59,0.0,0.0,0,0.0,0.12,34.2
126,2,2022-05-19,152.86,24.42,-70.32,0.68,0.0,0.0,0,0.0,0.35,34.0
126,3,2022-05-19,165.68,25.87,-66.54,0.69,0.0,0.0,0,0.0,0.39,31.1
189,1,2022-08-19,49.81,10.65,-82.06,0.59,0.0,0.0,0,0.0,0.13,18.2
189,2,2022-08-19,117.56,21.48,-70.74,0.66,0.0,0.0,0,0.0,0.3,38.8
189,3,2022-08-19,199.85,31.64,-66.94,0.75,0.0,0.0,0,0.0,0.47,44.9
252,1,2022-11-17,18.64,4.67,-82.6,0.56,0.0,0.0,0,0.0,0.06,50.2
252,2,2022-11-17,148.67,27.51,-65.45,0.73,0.0,0.0,0,0.0,0.42,42.8
252,3,2022-11-17,252.84,39.99,-65.42,0.82,0.0,0.0,0,0.0,0.61,38.2
