stop_pct,scope,cumulative_return,cagr,mdd,sharpe,win_rate,avg_holding_days,trade_count,profit_factor,calmar,avg_drawdown_days,avg_active_names
0.15,IREN_single,1494.49,91.96,-63.57,1.23,0.0,0.0,25,0.0,1.45,41.1,
0.15,basket,2118.18,107.48,-71.0,1.31,0.0,0.0,0,0.0,1.51,32.9,2.15
0.2,IREN_single,1893.23,102.32,-62.97,1.28,0.0,0.0,21,0.0,1.62,37.9,
0.2,basket,498.0,52.37,-71.5,0.92,0.0,0.0,0,0.0,0.73,42.6,2.49
0.25,IREN_single,2001.05,104.84,-54.36,1.27,0.0,0.0,18,0.0,1.93,33.9,
0.25,basket,1969.84,104.12,-56.17,1.27,0.0,0.0,0,0.0,1.85,44.1,2.91
0.3,IREN_single,1935.57,103.32,-62.44,1.22,0.0,0.0,15,0.0,1.65,38.5,
0.3,basket,728.45,64.53,-61.97,1.01,0.0,0.0,0,0.0,1.04,58.0,3.23
0.35,IREN_single,1905.25,102.61,-68.24,1.21,0.0,0.0,13,0.0,1.5,37.2,
0.35,basket,962.27,74.45,-69.64,1.07,0.0,0.0,0,0.0,1.07,45.6,3.72
