target_vol,cap,cumulative_return,cagr,mdd,sharpe,win_rate,avg_holding_days,trade_count,profit_factor,calmar,avg_drawdown_days
15.0,1.0,119.46,20.33,-29.92,1.01,0.0,0.0,0,0.0,0.68,28.9
15.0,1.3,118.07,20.15,-32.22,0.95,0.0,0.0,0,0.0,0.63,29.1
20.0,1.0,176.02,27.01,-35.79,1.07,0.0,0.0,0,0.0,0.75,26.6
20.0,1.3,175.2,26.92,-37.89,1.02,0.0,0.0,0,0.0,0.71,29.1
25.0,1.0,235.88,33.02,-41.27,1.08,0.0,0.0,0,0.0,0.8,26.7
25.0,1.3,241.96,33.58,-43.19,1.06,0.0,0.0,0,0.0,0.78,28.3
30.0,1.0,297.48,38.4,-46.36,1.09,0.0,0.0,0,0.0,0.83,26.6
30.0,1.3,310.17,39.43,-48.11,1.08,0.0,0.0,0,0.0,0.82,26.9
40.0,1.0,474.94,50.97,-54.93,1.14,0.0,0.0,0,0.0,0.93,26.0
40.0,1.3,459.7,50.02,-56.92,1.1,0.0,0.0,0,0.0,0.88,26.9
