Date,ret
2022-05-19,0.0
2022-05-20,-0.0
2022-05-23,-0.0
2022-05-24,-0.0
2022-05-25,0.0
2022-05-26,0.0
2022-05-27,0.0
2022-05-31,0.0
2022-06-01,-0.0
2022-06-02,0.0
2022-06-03,-0.0
2022-06-06,0.0
2022-06-07,-0.0
2022-06-08,0.0
2022-06-09,-0.0
2022-06-10,-0.0
2022-06-13,-0.0
2022-06-14,-0.0
2022-06-15,0.0
2022-06-16,-0.0
2022-06-17,-0.0
2022-06-21,-0.0
2022-06-22,-0.0
2022-06-23,-0.0
2022-06-24,-0.0
2022-06-27,0.0
2022-06-28,-0.0
2022-06-29,0.0
2022-06-30,0.0
2022-07-01,0.0
2022-07-05,-0.0
2022-07-06,-0.0
2022-07-07,0.0
2022-07-08,0.0
2022-07-11,-0.0
2022-07-12,-0.0
2022-07-13,0.0
2022-07-14,-0.0
2022-07-15,0.0
2022-07-18,-0.0
2022-07-19,0.0
2022-07-20,0.0
2022-07-21,0.026931334264018003
2022-07-22,-0.08495143552293416
2022-07-25,-0.053050410794581504
2022-07-26,-0.014005589146010688
2022-07-27,0.12500001693313778
2022-07-28,0.002525250092658027
2022-07-29,0.0
2022-08-01,0.017632224871117375
2022-08-02,-0.007425676548133309
2022-08-03,0.19700746053905194
2022-08-04,-0.07708340576953066
2022-08-05,0.06997741643159383
2022-08-08,0.14556963935415723
2022-08-09,-0.014732951424518137
2022-08-10,0.08598131707416634
2022-08-11,0.07056796066265747
2022-08-12,-0.04340835852635849
2022-08-15,-0.015125996409376063
2022-08-16,-0.010238897851962525
2022-08-17,-0.08275862125664346
2022-08-18,0.07706763800424299
2022-08-19,-0.11867361711607394
2022-08-22,-0.0005
2022-08-23,0.0
2022-08-24,-0.0
2022-08-25,-0.0
2022-08-26,-0.0
2022-08-29,-0.0
2022-08-30,0.0
2022-08-31,-0.0
2022-09-01,-0.0
2022-09-02,0.0
2022-09-06,0.0
2022-09-07,0.0
2022-09-08,-0.0
2022-09-09,0.0
2022-09-12,0.0
2022-09-13,-0.0
2022-09-14,0.0
2022-09-15,0.0
2022-09-16,0.0
2022-09-19,-0.0
2022-09-20,-0.0
2022-09-21,-0.0
2022-09-22,0.0
2022-09-23,-0.0
2022-09-26,-0.0
2022-09-27,0.0
2022-09-28,0.0
2022-09-29,0.0
2022-09-30,0.0
2022-10-03,-0.0
2022-10-04,0.0
2022-10-05,0.0
2022-10-06,-0.0
2022-10-07,-0.0
2022-10-10,-0.0
2022-10-11,-0.0
2022-10-12,0.0
2022-10-13,0.0
2022-10-14,-0.0
2022-10-17,0.0
2022-10-18,-0.0
2022-10-19,-0.0
2022-10-20,-0.0
2022-10-21,-0.0
2022-10-24,-0.0
2022-10-25,0.0
2022-10-26,0.0
2022-10-27,-0.0
2022-10-28,0.0
2022-10-31,-0.0
2022-11-01,0.0
2022-11-02,-0.0
2022-11-03,-0.0
2022-11-04,0.0
2022-11-07,0.0
2022-11-08,-0.0
2022-11-09,-0.0
2022-11-10,0.0
2022-11-11,0.0
2022-11-14,-0.0
2022-11-15,-0.0
2022-11-16,-0.0
2022-11-17,-0.0
2022-11-18,-0.0
2022-11-21,-0.0
2022-11-22,-0.0
2022-11-23,0.0
2022-11-25,-0.0
2022-11-28,-0.0
2022-11-29,-0.0
2022-11-30,0.0
2022-12-01,0.0
2022-12-02,0.0
2022-12-05,0.0
2022-12-06,-0.0
2022-12-07,-0.0
2022-12-08,-0.0
2022-12-09,0.0
2022-12-12,0.0
2022-12-13,-0.0
2022-12-14,0.0
2022-12-15,-0.0
2022-12-16,0.0
2022-12-19,-0.0
2022-12-20,0.0
2022-12-21,-0.0
2022-12-22,-0.0
2022-12-23,0.0
2022-12-27,-0.0
2022-12-28,-0.0
2022-12-29,0.0
2022-12-30,0.0
2023-01-03,-0.0
2023-01-04,0.0
2023-01-05,0.0
2023-01-06,-0.0
2023-01-09,0.0
2023-01-10,0.0
2023-01-11,-0.061849708057911734
2023-01-12,0.09150326033517286
2023-01-13,0.09580843709122178
2023-01-17,0.06557377155969979
2023-01-18,-0.01538466146946782
2023-01-19,-0.026041642413474064
2023-01-20,0.05882353691156261
2023-01-23,0.09595962393443158
2023-01-24,0.009216580748085068
2023-01-25,-0.01369861671503625
2023-01-26,0.009259250061012025
2023-01-27,-0.04357799344086444
2023-01-30,0.00239802202919015
2023-01-31,0.02392353721925211
2023-02-01,0.0
2023-02-02,0.13551399422291754
2023-02-03,-0.07613175971842667
2023-02-06,-0.013363016890443835
2023-02-07,-0.03385996034824401
2023-02-08,-0.030373857025287165
2023-02-09,-0.10361447153632675
2023-02-10,-0.0005
2023-02-13,0.0
2023-02-14,0.0
2023-02-15,0.6694219495785674
2023-02-16,-0.029239765429585618
2023-02-17,-0.0963855629338285
2023-02-21,-0.11733334859212241
2023-02-22,-0.0005
2023-02-23,-0.0
2023-02-24,-0.0
