Date,pool_corr_bull,holdings_corr_bull,spy_bull
2014-06-02,True,True,True
2014-06-03,True,True,True
2014-06-04,True,True,True
2014-06-05,True,True,True
2014-06-06,True,True,True
2014-06-09,True,True,True
2014-06-10,True,True,True
2014-06-11,True,True,True
2014-06-12,True,True,True
2014-06-13,True,True,True
2014-06-16,True,True,True
2014-06-17,True,True,True
2014-06-18,True,True,True
2014-06-19,True,True,True
2014-06-20,True,True,True
2014-06-23,True,True,True
2014-06-24,True,True,True
2014-06-25,True,True,True
2014-06-26,True,True,True
2014-06-27,True,True,True
2014-06-30,True,True,True
2014-07-01,True,True,True
2014-07-02,True,True,True
2014-07-03,True,True,True
2014-07-07,True,True,True
2014-07-08,True,True,True
2014-07-09,True,True,True
2014-07-10,True,True,True
2014-07-11,True,True,True
2014-07-14,True,True,True
2014-07-15,True,True,True
2014-07-16,True,True,True
2014-07-17,True,True,True
2014-07-18,True,True,True
2014-07-21,True,True,True
2014-07-22,True,True,True
2014-07-23,True,True,True
2014-07-24,True,True,True
2014-07-25,True,True,True
2014-07-28,True,True,True
2014-07-29,True,True,True
2014-07-30,True,True,True
2014-07-31,True,True,True
2014-08-01,True,True,True
2014-08-04,True,True,True
2014-08-05,True,True,True
2014-08-06,True,True,True
2014-08-07,True,True,True
2014-08-08,True,True,True
2014-08-11,True,True,True
2014-08-12,True,True,True
2014-08-13,True,True,True
2014-08-14,True,True,True
2014-08-15,True,True,True
2014-08-18,True,True,True
2014-08-19,True,True,True
2014-08-20,True,True,True
2014-08-21,True,True,True
2014-08-22,True,True,True
2014-08-25,True,True,True
2014-08-26,True,True,True
2014-08-27,True,True,True
2014-08-28,True,True,True
2014-08-29,True,True,True
2014-09-02,True,True,True
2014-09-03,True,True,True
2014-09-04,True,True,True
2014-09-05,True,True,True
2014-09-08,True,True,True
2014-09-09,True,True,True
2014-09-10,True,True,True
2014-09-11,True,True,True
2014-09-12,True,True,True
2014-09-15,True,True,True
2014-09-16,True,True,True
2014-09-17,True,True,True
2014-09-18,True,True,True
2014-09-19,True,True,True
2014-09-22,True,True,True
2014-09-23,True,True,True
2014-09-24,True,True,True
2014-09-25,True,True,True
2014-09-26,True,True,True
2014-09-29,True,True,True
2014-09-30,True,True,True
2014-10-01,True,True,True
2014-10-02,True,True,True
2014-10-03,True,True,True
2014-10-06,True,True,True
2014-10-07,True,True,True
2014-10-08,True,True,True
2014-10-09,True,True,True
2014-10-10,True,True,False
2014-10-13,True,True,False
2014-10-14,True,True,False
2014-10-15,True,True,False
2014-10-16,True,True,False
2014-10-17,True,True,False
2014-10-20,True,True,False
2014-10-21,True,True,True
2014-10-22,True,True,True
2014-10-23,True,True,True
2014-10-24,True,True,True
2014-10-27,True,True,True
2014-10-28,True,True,True
2014-10-29,True,True,True
2014-10-30,True,True,True
2014-10-31,True,True,True
2014-11-03,True,True,True
2014-11-04,True,True,True
2014-11-05,True,True,True
2014-11-06,True,True,True
2014-11-07,True,True,True
2014-11-10,True,True,True
2014-11-11,True,True,True
2014-11-12,True,True,True
2014-11-13,True,True,True
2014-11-14,True,True,True
2014-11-17,True,True,True
2014-11-18,True,True,True
2014-11-19,True,True,True
2014-11-20,True,True,True
2014-11-21,True,True,True
2014-11-24,True,True,True
2014-11-25,True,True,True
2014-11-26,True,True,True
2014-11-28,True,True,True
2014-12-01,True,True,True
2014-12-02,True,True,True
2014-12-03,True,True,True
2014-12-04,True,True,True
2014-12-05,True,True,True
2014-12-08,True,True,True
2014-12-09,True,True,True
2014-12-10,True,True,True
2014-12-11,True,True,True
2014-12-12,True,True,True
2014-12-15,True,True,True
