Date,pool_corr_bull,holdings_corr_bull,spy_bull
2019-01-02,True,True,False
2019-01-03,True,True,False
2019-01-04,True,True,False
2019-01-07,True,True,False
2019-01-08,True,True,False
2019-01-09,True,True,False
2019-01-10,True,True,False
2019-01-11,True,True,False
2019-01-14,True,True,False
2019-01-15,True,True,False
2019-01-16,True,True,False
2019-01-17,True,True,False
2019-01-18,True,True,False
2019-01-22,True,True,False
2019-01-23,True,True,False
2019-01-24,True,True,False
2019-01-25,True,True,False
2019-01-28,True,True,False
2019-01-29,True,True,False
2019-01-30,True,True,False
2019-01-31,True,True,False
2019-02-01,True,True,False
2019-02-04,True,True,False
2019-02-05,True,True,False
2019-02-06,True,True,False
2019-02-07,True,True,False
2019-02-08,True,True,False
2019-02-11,True,True,False
2019-02-12,True,True,True
2019-02-13,True,True,True
2019-02-14,True,True,True
2019-02-15,True,True,True
2019-02-19,True,True,True
2019-02-20,True,True,True
2019-02-21,True,True,True
2019-02-22,True,True,True
2019-02-25,True,True,True
2019-02-26,True,True,True
2019-02-27,True,True,True
2019-02-28,True,True,True
2019-03-01,True,True,True
2019-03-04,True,True,True
2019-03-05,True,True,True
2019-03-06,True,True,True
2019-03-07,True,True,True
2019-03-08,True,True,False
2019-03-11,True,True,True
2019-03-12,True,True,True
2019-03-13,True,True,True
2019-03-14,True,True,True
2019-03-15,True,True,True
2019-03-18,True,True,True
2019-03-19,True,True,True
2019-03-20,True,True,True
2019-03-21,True,True,True
2019-03-22,True,True,True
2019-03-25,True,True,True
2019-03-26,True,True,True
2019-03-27,True,True,True
2019-03-28,True,True,True
2019-03-29,True,True,True
2019-04-01,True,True,True
2019-04-02,True,True,True
2019-04-03,True,True,True
2019-04-04,True,True,True
2019-04-05,True,True,True
2019-04-08,True,True,True
2019-04-09,True,True,True
2019-04-10,True,True,True
2019-04-11,True,True,True
2019-04-12,True,True,True
2019-04-15,True,True,True
2019-04-16,True,True,True
2019-04-17,True,True,True
2019-04-18,True,True,True
2019-04-22,True,True,True
