Date,pool_corr_bull,holdings_corr_bull,spy_bull
2007-01-03,True,True,True
2007-01-04,True,True,True
2007-01-05,True,True,True
2007-01-08,True,True,True
2007-01-09,True,True,True
2007-01-10,True,True,True
2007-01-11,True,True,True
2007-01-12,True,True,True
2007-01-16,True,True,True
2007-01-17,True,True,True
2007-01-18,True,True,True
2007-01-19,True,True,True
2007-01-22,True,True,True
2007-01-23,True,True,True
2007-01-24,True,True,True
2007-01-25,True,True,True
2007-01-26,True,True,True
2007-01-29,True,True,True
2007-01-30,True,True,True
2007-01-31,True,True,True
2007-02-01,True,True,True
2007-02-02,True,True,True
2007-02-05,True,True,True
2007-02-06,True,True,True
2007-02-07,True,True,True
2007-02-08,True,True,True
2007-02-09,True,True,True
2007-02-12,True,True,True
2007-02-13,True,True,True
2007-02-14,True,True,True
2007-02-15,True,True,True
2007-02-16,True,True,True
2007-02-20,True,True,True
2007-02-21,True,True,True
2007-02-22,True,True,True
2007-02-23,True,True,True
2007-02-26,True,True,True
2007-02-27,True,True,True
2007-02-28,True,True,True
2007-03-01,True,True,True
2007-03-02,True,True,True
2007-03-05,True,True,True
2007-03-06,True,True,True
2007-03-07,True,True,True
2007-03-08,True,True,True
2007-03-09,True,True,True
2007-03-12,True,True,True
2007-03-13,True,True,True
2007-03-14,True,True,True
2007-03-15,True,True,True
2007-03-16,True,True,True
2007-03-19,True,True,True
2007-03-20,True,True,True
2007-03-21,True,True,True
2007-03-22,True,True,True
2007-03-23,True,True,True
2007-03-26,True,True,True
2007-03-27,True,True,True
2007-03-28,True,True,True
2007-03-29,True,True,True
2007-03-30,True,True,True
2007-04-02,True,True,True
2007-04-03,True,True,True
2007-04-04,True,True,True
2007-04-05,True,True,True
2007-04-09,True,True,True
2007-04-10,True,True,True
2007-04-11,True,True,True
2007-04-12,True,True,True
2007-04-13,True,True,True
2007-04-16,True,True,True
2007-04-17,True,True,True
2007-04-18,True,True,True
2007-04-19,True,True,True
2007-04-20,True,True,True
2007-04-23,True,True,True
2007-04-24,True,True,True
2007-04-25,True,True,True
2007-04-26,True,True,True
2007-04-27,True,True,True
2007-04-30,True,True,True
2007-05-01,True,True,True
2007-05-02,True,True,True
2007-05-03,True,True,True
2007-05-04,True,True,True
2007-05-07,True,True,True
2007-05-08,True,True,True
2007-05-09,True,True,True
2007-05-10,True,True,True
2007-05-11,True,True,True
2007-05-14,True,True,True
2007-05-15,True,True,True
2007-05-16,True,True,True
2007-05-17,True,True,True
2007-05-18,True,True,True
2007-05-21,True,True,True
2007-05-22,True,True,True
2007-05-23,True,True,True
2007-05-24,True,True,True
2007-05-25,True,True,True
2007-05-29,True,True,True
2007-05-30,True,True,True
2007-05-31,True,True,True
2007-06-01,True,True,True
2007-06-04,True,True,True
2007-06-05,True,True,True
2007-06-06,True,True,True
2007-06-07,True,True,True
2007-06-08,True,True,True
2007-06-11,True,True,True
2007-06-12,True,True,True
2007-06-13,True,True,True
2007-06-14,True,True,True
2007-06-15,True,True,True
2007-06-18,True,True,True
2007-06-19,True,True,True
2007-06-20,True,True,True
2007-06-21,True,True,True
2007-06-22,True,True,True
2007-06-25,True,True,True
2007-06-26,True,True,True
2007-06-27,True,True,True
2007-06-28,True,True,True
2007-06-29,True,True,True
2007-07-02,True,True,True
2007-07-03,True,True,True
2007-07-05,True,True,True
