Date,pool_corr_bull,holdings_corr_bull,spy_bull
2017-06-01,True,True,True
2017-06-02,True,True,True
2017-06-05,True,True,True
2017-06-06,True,True,True
2017-06-07,True,True,True
2017-06-08,True,True,True
2017-06-09,True,True,True
2017-06-12,True,True,True
2017-06-13,True,True,True
2017-06-14,True,True,True
2017-06-15,True,True,True
2017-06-16,True,True,True
2017-06-19,True,True,True
2017-06-20,True,True,True
2017-06-21,True,True,True
2017-06-22,True,True,True
2017-06-23,True,True,True
2017-06-26,True,True,True
2017-06-27,True,True,True
2017-06-28,True,True,True
2017-06-29,True,True,True
2017-06-30,True,True,True
2017-07-03,True,True,True
2017-07-05,True,True,True
2017-07-06,True,True,True
2017-07-07,True,True,True
2017-07-10,True,True,True
2017-07-11,True,True,True
2017-07-12,True,True,True
2017-07-13,True,True,True
2017-07-14,True,True,True
2017-07-17,True,True,True
2017-07-18,True,True,True
2017-07-19,True,True,True
2017-07-20,True,True,True
2017-07-21,True,True,True
2017-07-24,True,True,True
2017-07-25,True,True,True
2017-07-26,True,True,True
2017-07-27,True,True,True
2017-07-28,True,True,True
2017-07-31,True,True,True
2017-08-01,True,True,True
2017-08-02,True,True,True
2017-08-03,True,True,True
2017-08-04,True,True,True
2017-08-07,True,True,True
2017-08-08,True,True,True
2017-08-09,True,True,True
2017-08-10,True,True,True
2017-08-11,True,True,True
2017-08-14,True,True,True
2017-08-15,True,True,True
2017-08-16,True,True,True
2017-08-17,True,True,True
2017-08-18,True,True,True
2017-08-21,True,True,True
2017-08-22,True,True,True
2017-08-23,True,True,True
2017-08-24,True,True,True
2017-08-25,True,True,True
2017-08-28,True,True,True
2017-08-29,True,True,True
2017-08-30,True,True,True
2017-08-31,True,True,True
2017-09-01,True,True,True
2017-09-05,True,True,True
2017-09-06,True,True,True
2017-09-07,True,True,True
2017-09-08,True,True,True
2017-09-11,True,True,True
2017-09-12,True,True,True
2017-09-13,True,True,True
2017-09-14,True,True,True
2017-09-15,True,True,True
2017-09-18,True,True,True
2017-09-19,True,True,True
2017-09-20,True,True,True
2017-09-21,True,True,True
2017-09-22,True,True,True
2017-09-25,True,True,True
2017-09-26,True,True,True
2017-09-27,True,True,True
2017-09-28,True,True,True
2017-09-29,True,True,True
2017-10-02,True,True,True
2017-10-03,True,True,True
2017-10-04,True,True,True
2017-10-05,True,True,True
2017-10-06,True,True,True
2017-10-09,True,True,True
2017-10-10,True,True,True
2017-10-11,True,True,True
2017-10-12,True,True,True
2017-10-13,True,True,True
2017-10-16,True,True,True
2017-10-17,True,True,True
2017-10-18,True,True,True
2017-10-19,True,True,True
2017-10-20,True,True,True
2017-10-23,True,True,True
2017-10-24,True,True,True
2017-10-25,True,True,True
2017-10-26,True,True,True
2017-10-27,True,True,True
2017-10-30,True,True,True
2017-10-31,True,True,True
2017-11-01,True,True,True
2017-11-02,True,True,True
2017-11-03,True,True,True
2017-11-06,True,True,True
2017-11-07,True,True,True
2017-11-08,True,True,True
2017-11-09,True,True,True
2017-11-10,True,True,True
2017-11-13,True,True,True
2017-11-14,True,True,True
2017-11-15,True,True,True
2017-11-16,True,True,True
2017-11-17,True,True,True
2017-11-20,True,True,True
2017-11-21,True,True,True
2017-11-22,True,True,True
2017-11-24,True,True,True
2017-11-27,True,True,True
2017-11-28,True,True,True
2017-11-29,True,True,True
2017-11-30,True,True,True
2017-12-01,True,True,True
2017-12-04,True,True,True
2017-12-05,True,True,True
2017-12-06,True,True,True
2017-12-07,True,True,True
2017-12-08,True,True,True
2017-12-11,True,True,True
2017-12-12,True,True,True
2017-12-13,True,True,True
2017-12-14,True,True,True
2017-12-15,True,True,True
2017-12-18,True,True,True
2017-12-19,True,True,True
2017-12-20,True,True,True
2017-12-21,True,True,True
2017-12-22,True,True,True
2017-12-26,True,True,True
2017-12-27,True,True,True
2017-12-28,True,True,True
2017-12-29,True,True,True
2018-01-02,True,True,True
2018-01-03,True,True,True
2018-01-04,True,True,True
2018-01-05,True,False,True
2018-01-08,True,False,True
2018-01-09,True,True,True
2018-01-10,True,True,True
2018-01-11,True,False,True
2018-01-12,True,False,True
2018-01-16,True,False,True
2018-01-17,True,False,True
2018-01-18,True,True,True
2018-01-19,True,False,True
2018-01-22,True,True,True
2018-01-23,True,True,True
2018-01-24,True,True,True
2018-01-25,True,True,True
2018-01-26,True,True,True
2018-01-29,True,True,True
2018-01-30,True,True,True
2018-01-31,True,True,True
2018-02-01,True,True,True
2018-02-02,True,True,True
2018-02-05,True,True,True
2018-02-06,True,True,True
2018-02-07,True,True,True
2018-02-08,True,False,True
2018-02-09,True,True,True
2018-02-12,True,False,True
2018-02-13,True,False,True
2018-02-14,True,False,True
2018-02-15,True,False,True
2018-02-16,True,False,True
2018-02-20,True,False,True
2018-02-21,True,False,True
2018-02-22,True,False,True
2018-02-23,True,False,True
2018-02-26,True,False,True
2018-02-27,True,False,True
2018-02-28,True,False,True
2018-03-01,True,False,True
2018-03-02,True,False,True
2018-03-05,True,False,True
2018-03-06,True,False,True
2018-03-07,True,False,True
2018-03-08,True,False,True
2018-03-09,True,True,True
2018-03-12,True,True,True
2018-03-13,True,True,True
2018-03-14,True,True,True
2018-03-15,True,True,True
2018-03-16,True,True,True
2018-03-19,True,True,True
2018-03-20,True,True,True
2018-03-21,True,True,True
2018-03-22,True,False,True
2018-03-23,True,True,False
2018-03-26,True,False,True
2018-03-27,True,False,True
2018-03-28,True,False,True
2018-03-29,True,False,True
2018-04-02,True,False,False
2018-04-03,True,False,True
2018-04-04,True,False,True
2018-04-05,True,False,True
2018-04-06,True,False,True
2018-04-09,True,False,True
2018-04-10,True,False,True
2018-04-11,True,False,True
2018-04-12,True,False,True
2018-04-13,True,False,True
2018-04-16,True,False,True
2018-04-17,True,False,True
2018-04-18,True,False,True
2018-04-19,True,False,True
2018-04-20,True,False,True
2018-04-23,True,False,True
2018-04-24,True,False,True
2018-04-25,True,False,True
2018-04-26,True,False,True
2018-04-27,True,True,True
2018-04-30,True,True,True
2018-05-01,True,True,True
2018-05-02,True,True,True
2018-05-03,True,True,True
2018-05-04,True,True,True
2018-05-07,True,True,True
2018-05-08,True,True,True
2018-05-09,True,True,True
