ticker,sector,tuned_cagr,baseline_cagr,bh_cagr,tuned_mdd,baseline_mdd,tuned_sharpe,baseline_sharpe,tuned_excess_vs_bh
TSLA,임의소비재,43.44,34.51,30.9,-65.05,-65.05,0.95,0.95,12.54
QCOM,반도체,18.97,12.19,6.99,-45.57,-42.34,0.68,0.55,11.98
VZ,커뮤니케이션서비스,0.0,3.33,0.06,-50.32,-46.94,0.1,0.28,-0.06
AMT,리츠/부동산,5.17,6.76,4.68,-48.07,-43.99,0.34,0.44,0.49
JNJ,헬스케어,8.56,9.61,8.16,-27.83,-22.54,0.56,0.75,0.4
UPS,산업재,-1.0,2.22,-0.48,-60.38,-56.15,0.08,0.21,-0.52
T,커뮤니케이션서비스,-0.95,0.95,-0.37,-54.85,-43.04,0.06,0.15,-0.58
SPG,리츠/부동산,2.66,1.93,1.47,-76.91,-77.43,0.25,0.22,1.19
PFE,헬스케어,-1.56,-0.59,-0.95,-60.37,-60.37,0.03,0.06,-0.61
O,리츠/부동산,4.24,2.2,2.38,-40.91,-42.75,0.3,0.21,1.86
PEP,필수소비재,1.96,3.12,3.35,-34.72,-26.5,0.2,0.29,-1.39
NKE,임의소비재,-2.32,-1.65,-1.2,-72.18,-57.04,0.07,0.07,-1.12
HON,산업재,8.94,7.76,7.97,-39.33,-39.33,0.52,0.52,0.97
ABBV,헬스케어,12.82,12.02,12.18,-34.62,-34.62,0.66,0.74,0.64
KO,필수소비재,6.36,5.95,6.39,-37.54,-22.51,0.44,0.56,-0.03
SLB,에너지,-1.63,-5.64,-3.95,-85.79,-86.89,0.15,-0.01,2.32
MCD,임의소비재,9.98,8.66,9.74,-38.01,-31.4,0.6,0.65,0.24
CVX,에너지,3.25,2.91,4.92,-59.42,-54.91,0.25,0.24,-1.67
PG,필수소비재,4.16,1.44,4.16,-27.04,-22.67,0.35,0.18,0.0
BA,산업재,3.29,2.13,5.17,-78.44,-75.44,0.28,0.23,-1.88
WFC,금융/은행,3.32,0.53,4.13,-62.73,-59.52,0.26,0.15,-0.81
EOG,에너지,0.38,-0.21,3.88,-77.51,-73.02,0.19,0.16,-3.5
HD,임의소비재,10.57,8.86,11.2,-29.74,-26.02,0.62,0.57,-0.63
XOM,에너지,-2.45,-1.01,4.79,-66.94,-59.76,0.01,0.06,-7.24
PLD,리츠/부동산,6.56,7.74,10.58,-35.14,-28.53,0.4,0.48,-4.02
COP,에너지,6.66,-1.41,5.33,-67.91,-68.85,0.36,0.11,1.33
ORCL,소프트웨어/클라우드,10.0,5.21,10.78,-53.66,-53.66,0.51,0.34,-0.78
UNH,헬스케어,5.42,7.59,12.67,-61.97,-60.34,0.34,0.45,-7.25
BAC,금융/은행,8.33,4.96,11.6,-49.27,-43.03,0.43,0.32,-3.27
CRM,소프트웨어/클라우드,8.88,3.48,10.93,-59.19,-48.44,0.44,0.26,-2.05
WMT,필수소비재,7.18,6.16,12.58,-37.64,-29.4,0.5,0.54,-5.4
GE,산업재,2.32,-0.95,10.13,-82.3,-77.93,0.23,0.11,-7.81
EQIX,리츠/부동산,10.37,6.29,13.96,-34.26,-34.26,0.58,0.46,-3.59
ADBE,소프트웨어/클라우드,3.19,-0.22,11.79,-68.25,-65.02,0.25,0.11,-8.6
GS,금융/은행,11.88,8.03,15.49,-38.53,-42.02,0.59,0.46,-3.61
COST,필수소비재,19.12,10.95,17.76,-31.51,-19.75,1.11,0.94,1.36
META,커뮤니케이션서비스,12.32,12.3,19.15,-63.1,-66.64,0.53,0.57,-6.83
MS,금융/은행,9.42,4.45,15.92,-51.64,-44.34,0.46,0.3,-6.5
JPM,금융/은행,12.7,4.55,16.34,-34.22,-34.22,0.62,0.33,-3.64
MSFT,소프트웨어/클라우드,13.24,14.33,22.73,-34.91,-26.99,0.73,0.85,-9.49
CAT,산업재,9.56,6.08,21.05,-41.04,-36.97,0.5,0.38,-11.49
NOW,소프트웨어/클라우드,11.36,3.99,21.37,-64.54,-60.28,0.49,0.28,-10.01
GOOGL,커뮤니케이션서비스,10.85,9.34,24.72,-32.21,-33.48,0.6,0.56,-13.87
NFLX,커뮤니케이션서비스,11.88,3.24,26.28,-69.69,-69.66,0.52,0.26,-14.4
LLY,헬스케어,24.22,8.41,27.87,-30.4,-30.4,0.97,0.65,-3.65
TSM,반도체,16.24,12.87,28.85,-51.98,-51.98,0.78,0.73,-12.61
AMZN,임의소비재,16.38,5.07,28.06,-51.68,-51.68,0.71,0.35,-11.68
AVGO,반도체,19.55,11.16,37.87,-48.79,-42.5,0.78,0.61,-18.32
AMD,반도체,27.39,11.1,56.25,-63.0,-54.74,0.75,0.49,-28.86
NVDA,반도체,62.01,8.66,68.69,-44.79,-45.99,1.38,0.46,-6.68
S&P500,S&P500,9.68,4.56,12.08,-22.37,-22.37,0.68,0.41,-2.4
