ticker,sector,cagr,mdd,sharpe,excess_vs_bench,beats_bh,beats_bench
TSLA,임의소비재,13.17,-27.51,0.76,1.0600000000000005,False,True
QCOM,반도체,2.76,-43.17,0.24,-9.35,False,False
VZ,커뮤니케이션서비스,-3.23,-47.78,-0.11,-15.34,False,False
AMT,리츠/부동산,1.3,-51.17,0.16,-10.809999999999999,False,False
JNJ,헬스케어,6.57,-27.95,0.49,-5.539999999999999,False,False
UPS,산업재,-4.69,-58.11,-0.15,-16.8,False,False
T,커뮤니케이션서비스,-3.68,-65.45,-0.13,-15.79,False,False
SPG,리츠/부동산,1.89,-51.89,0.19,-10.219999999999999,True,False
PFE,헬스케어,-1.52,-50.85,-0.01,-13.629999999999999,False,False
O,리츠/부동산,-0.21,-40.34,0.07,-12.32,False,False
PEP,필수소비재,1.84,-33.92,0.2,-10.27,False,False
NKE,임의소비재,-3.29,-67.57,-0.06,-15.399999999999999,False,False
HON,산업재,2.37,-35.08,0.23,-9.739999999999998,False,False
ABBV,헬스케어,11.4,-42.96,0.66,-0.7099999999999991,False,False
KO,필수소비재,5.67,-23.52,0.44,-6.4399999999999995,False,False
SLB,에너지,-6.42,-73.25,-0.29,-18.53,False,False
MCD,임의소비재,7.76,-23.12,0.54,-4.35,False,False
CVX,에너지,1.34,-48.71,0.16,-10.77,False,False
PG,필수소비재,1.09,-36.55,0.15,-11.02,False,False
BA,산업재,5.37,-49.44,0.38,-6.739999999999999,True,False
WFC,금융/은행,1.82,-47.02,0.19,-10.29,False,False
EOG,에너지,2.92,-45.55,0.25,-9.19,False,False
HD,임의소비재,7.05,-30.75,0.51,-5.06,False,False
XOM,에너지,-2.43,-63.42,-0.08,-14.54,False,False
PLD,리츠/부동산,6.49,-30.69,0.46,-5.619999999999999,False,False
COP,에너지,0.65,-47.32,0.12,-11.459999999999999,False,False
ORCL,소프트웨어/클라우드,3.28,-27.4,0.28,-8.83,False,False
UNH,헬스케어,9.67,-36.06,0.6,-2.4399999999999995,False,False
BAC,금융/은행,5.0,-36.13,0.38,-7.109999999999999,False,False
CRM,소프트웨어/클라우드,7.17,-38.74,0.48,-4.9399999999999995,False,False
WMT,필수소비재,14.02,-32.87,0.83,1.9100000000000001,True,True
GE,산업재,5.23,-62.93,0.38,-6.879999999999999,False,False
EQIX,리츠/부동산,2.82,-29.87,0.26,-9.29,False,False
ADBE,소프트웨어/클라우드,7.79,-49.94,0.5,-4.319999999999999,False,False
GS,금융/은행,7.18,-33.12,0.51,-4.93,False,False
COST,필수소비재,15.87,-24.28,0.93,3.76,False,True
META,커뮤니케이션서비스,8.21,-34.05,0.53,-3.8999999999999986,False,False
MS,금융/은행,8.44,-32.98,0.54,-3.67,False,False
JPM,금융/은행,11.51,-20.67,0.74,-0.5999999999999996,False,False
MSFT,소프트웨어/클라우드,12.83,-26.89,0.83,0.7200000000000006,False,True
CAT,산업재,12.5,-33.82,0.74,0.39000000000000057,False,True
NOW,소프트웨어/클라우드,8.68,-47.82,0.54,-3.4299999999999997,False,False
GOOGL,커뮤니케이션서비스,17.62,-21.73,1.03,5.510000000000002,False,True
NFLX,커뮤니케이션서비스,12.09,-42.62,0.66,-0.019999999999999574,False,False
LLY,헬스케어,17.59,-28.95,0.97,5.48,False,True
TSM,반도체,15.34,-25.76,0.89,3.2300000000000004,False,True
AMZN,임의소비재,17.37,-25.65,0.93,5.260000000000002,False,True
AVGO,반도체,12.78,-28.05,0.82,0.6699999999999999,False,True
AMD,반도체,17.39,-29.02,0.92,5.280000000000001,False,True
NVDA,반도체,26.65,-30.57,1.3,14.54,False,True
S&P500,S&P500,8.84,-19.53,0.78,-3.2699999999999996,False,False
