zone_low,zone_high,vol_ratio_high,position_lookback,mean_sharpe,mean_cagr,mean_excess_cagr_vs_bench,median_excess_cagr_vs_bench,win_rate_vs_bh_pct,win_rate_vs_bench_pct,index_cagr,index_sharpe,index_mdd,index_excess_vs_bench
30.0,95.0,1.6,252,0.47,9.9,-2.21,-3.39,24.0,26.0,9.68,0.68,-22.37,-2.43
30.0,95.0,1.6,504,0.462,8.3,-3.8,-5.24,34.0,22.0,10.39,0.91,-17.47,-1.72
30.0,95.0,1.2,504,0.455,7.38,-4.73,-6.02,34.0,18.0,10.39,0.91,-17.47,-1.72
30.0,95.0,1.2,252,0.449,8.11,-4.0,-5.09,24.0,24.0,9.68,0.68,-22.37,-2.43
30.0,85.0,1.6,504,0.44,6.9,-5.21,-6.56,26.0,14.0,8.33,0.81,-17.47,-3.78
15.0,95.0,1.6,504,0.435,7.1,-5.01,-5.94,32.0,14.0,5.39,0.61,-17.47,-6.72
15.0,95.0,1.2,504,0.427,6.35,-5.76,-6.9,28.0,12.0,5.39,0.61,-17.47,-6.72
5.0,95.0,1.6,504,0.426,6.5,-5.61,-6.04,30.0,8.0,5.86,0.74,-11.54,-6.25
30.0,85.0,1.2,504,0.42,6.18,-5.92,-7.01,22.0,12.0,8.33,0.81,-17.47,-3.78
30.0,85.0,1.6,252,0.416,6.75,-5.36,-5.95,28.0,16.0,6.41,0.54,-22.37,-5.7
5.0,95.0,1.2,504,0.413,5.75,-6.36,-6.68,20.0,10.0,5.86,0.74,-11.54,-6.25
15.0,95.0,1.6,252,0.406,7.35,-4.76,-5.46,18.0,18.0,10.08,0.71,-22.37,-2.03
5.0,95.0,1.6,252,0.406,7.12,-4.99,-5.33,26.0,12.0,10.86,0.77,-22.37,-1.25
30.0,85.0,1.2,252,0.404,6.32,-5.79,-6.22,22.0,18.0,6.41,0.54,-22.37,-5.7
5.0,95.0,1.2,252,0.402,6.27,-5.84,-5.49,22.0,14.0,10.86,0.77,-22.37,-1.25
30.0,70.0,1.6,504,0.4,5.71,-6.4,-7.25,22.0,12.0,5.93,0.63,-17.47,-6.18
30.0,70.0,1.6,252,0.399,6.12,-5.99,-6.43,20.0,6.0,4.56,0.41,-22.37,-7.55
15.0,85.0,1.6,504,0.399,5.79,-6.32,-7.25,24.0,8.0,3.79,0.48,-17.47,-8.32
15.0,95.0,1.2,252,0.393,6.26,-5.85,-5.06,12.0,14.0,10.08,0.71,-22.37,-2.03
30.0,70.0,1.2,252,0.393,5.83,-6.28,-6.97,18.0,10.0,4.56,0.41,-22.37,-7.55
5.0,85.0,1.6,504,0.39,5.39,-6.72,-7.28,20.0,10.0,4.25,0.62,-11.54,-7.86
5.0,85.0,1.6,252,0.388,5.55,-6.56,-6.89,16.0,10.0,8.02,0.67,-22.37,-4.09
30.0,70.0,1.2,504,0.386,5.15,-6.96,-7.78,18.0,10.0,5.93,0.63,-17.47,-6.18
15.0,85.0,1.2,504,0.379,5.12,-6.99,-7.89,20.0,8.0,3.79,0.48,-17.47,-8.32
15.0,85.0,1.6,252,0.372,5.44,-6.66,-6.61,12.0,8.0,7.05,0.59,-22.37,-5.06
5.0,85.0,1.2,504,0.37,4.72,-7.39,-7.55,20.0,10.0,4.25,0.62,-11.54,-7.86
5.0,85.0,1.2,252,0.365,4.87,-7.24,-7.6,12.0,6.0,8.02,0.67,-22.37,-4.09
15.0,70.0,1.6,504,0.364,4.67,-7.44,-7.88,14.0,8.0,2.77,0.38,-17.47,-9.34
5.0,70.0,1.6,504,0.359,4.41,-7.7,-8.15,16.0,8.0,3.22,0.5,-11.54,-8.89
15.0,85.0,1.2,252,0.357,4.86,-7.25,-7.11,10.0,6.0,7.05,0.59,-22.37,-5.06
5.0,70.0,1.6,252,0.356,4.62,-7.49,-7.36,16.0,4.0,6.15,0.55,-22.37,-5.96
15.0,70.0,1.6,252,0.354,4.75,-7.36,-7.45,16.0,4.0,5.19,0.47,-22.37,-6.92
15.0,70.0,1.2,504,0.347,4.15,-7.96,-8.43,12.0,4.0,2.77,0.38,-17.47,-9.34
5.0,70.0,1.2,504,0.346,3.97,-8.14,-8.48,14.0,6.0,3.22,0.5,-11.54,-8.89
5.0,70.0,1.2,252,0.345,4.27,-7.84,-7.54,14.0,4.0,6.15,0.55,-22.37,-5.96
15.0,70.0,1.2,252,0.343,4.43,-7.68,-7.64,16.0,6.0,5.19,0.47,-22.37,-6.92
