top_n,weighting,overlay,cumulative_return,cagr,mdd,sharpe,win_rate,avg_holding_days,trade_count
10,equal,none,1839.94,29.11,-29.88,1.15,0.0,0.0,0
10,equal,vt12.0,380.7,14.49,-13.13,1.1,0.0,0.0,0
10,equal,vt15.0,585.12,18.04,-16.09,1.13,0.0,0.0,0
10,inverse_vol,none,1396.96,26.26,-27.26,1.13,0.0,0.0,0
10,inverse_vol,vt12.0,382.71,14.53,-12.91,1.12,0.0,0.0,0
10,inverse_vol,vt15.0,566.36,17.75,-15.91,1.14,0.0,0.0,0
15,equal,none,1083.33,23.73,-29.49,1.08,0.0,0.0,0
15,equal,vt12.0,330.34,13.4,-17.13,1.04,0.0,0.0,0
15,equal,vt15.0,497.3,16.65,-19.89,1.09,0.0,0.0,0
15,inverse_vol,none,856.81,21.48,-28.11,1.07,0.0,0.0,0
15,inverse_vol,vt12.0,329.42,13.38,-16.13,1.06,0.0,0.0,0
15,inverse_vol,vt15.0,472.98,16.23,-17.15,1.11,0.0,0.0,0
