target_vol,cap,cumulative_return,cagr,mdd,sharpe,win_rate,avg_holding_days,trade_count
10.0,1.0,78.34,5.11,-13.84,0.52,0.0,0.0,0
10.0,1.3,76.09,5.0,-15.44,0.49,0.0,0.0,0
10.0,1.5,76.83,5.03,-15.63,0.49,0.0,0.0,0
12.0,1.0,100.9,6.2,-15.1,0.56,0.0,0.0,0
12.0,1.3,96.49,5.99,-17.37,0.51,0.0,0.0,0
12.0,1.5,94.15,5.88,-18.25,0.5,0.0,0.0,0
15.0,1.0,129.22,7.41,-16.7,0.6,0.0,0.0,0
15.0,1.3,131.96,7.52,-19.0,0.55,0.0,0.0,0
15.0,1.5,126.95,7.32,-20.39,0.52,0.0,0.0,0
18.0,1.0,143.55,7.97,-17.74,0.6,0.0,0.0,0
18.0,1.3,168.8,8.89,-20.61,0.59,0.0,0.0,0
18.0,1.5,167.65,8.85,-22.22,0.56,0.0,0.0,0
