target_vol,cap,base,cumulative_return,cagr,mdd,sharpe,win_rate,avg_holding_days,trade_count
10.0,1.0,strategy,251.81,11.45,-13.72,1.13,0.0,0.0,0
10.0,1.0,bh,255.48,11.54,-13.46,1.12,0.0,0.0,0
10.0,1.5,strategy,265.03,11.8,-14.63,1.07,0.0,0.0,0
10.0,1.5,bh,262.62,11.74,-14.28,1.06,0.0,0.0,0
10.0,2.0,strategy,265.08,11.8,-14.63,1.05,0.0,0.0,0
10.0,2.0,bh,262.47,11.73,-14.28,1.04,0.0,0.0,0
12.0,1.0,strategy,310.33,12.93,-15.97,1.14,0.0,0.0,0
12.0,1.0,bh,318.24,13.12,-15.68,1.13,0.0,0.0,0
12.0,1.5,strategy,366.78,14.19,-17.04,1.1,0.0,0.0,0
12.0,1.5,bh,364.17,14.14,-16.8,1.09,0.0,0.0,0
12.0,2.0,strategy,366.34,14.18,-17.41,1.07,0.0,0.0,0
12.0,2.0,bh,364.61,14.15,-16.99,1.06,0.0,0.0,0
15.0,1.0,strategy,363.23,14.12,-19.38,1.12,0.0,0.0,0
15.0,1.0,bh,379.95,14.47,-19.25,1.11,0.0,0.0,0
15.0,1.5,strategy,537.62,17.3,-20.19,1.14,0.0,0.0,0
15.0,1.5,bh,548.26,17.47,-19.83,1.13,0.0,0.0,0
15.0,2.0,strategy,564.02,17.71,-21.3,1.09,0.0,0.0,0
15.0,2.0,bh,561.77,17.68,-20.93,1.08,0.0,0.0,0
18.0,1.0,strategy,401.09,14.89,-21.25,1.09,0.0,0.0,0
18.0,1.0,bh,425.61,15.37,-21.17,1.09,0.0,0.0,0
18.0,1.5,strategy,694.81,19.55,-23.42,1.15,0.0,0.0,0
18.0,1.5,bh,717.86,19.85,-23.02,1.14,0.0,0.0,0
18.0,2.0,strategy,841.82,21.31,-24.31,1.13,0.0,0.0,0
18.0,2.0,bh,840.84,21.3,-23.92,1.12,0.0,0.0,0
