theme,style,data_start,cumulative_return,cagr,mdd,sharpe,win_rate,trade_count,bh_cumulative_return,bh_cagr,bh_mdd,excess_return,bench_cumulative_return,bench_cagr,bench_mdd,excess_return_vs_benchmark,sector
TSLA,스윙,2015-01-02,3690.89,36.78,-72.34,0.89,62.9,62,2176.3,30.9,-73.63,1514.59,276.69,12.11,-33.92,3414.2,임의소비재
HD,스윙,2015-01-02,433.18,15.51,-28.25,0.82,54.22,83,242.72,11.2,-38.41,190.46,276.69,12.11,-33.92,156.49,임의소비재
QCOM,스윙,2015-01-02,206.44,10.13,-44.56,0.46,53.73,67,119.01,6.99,-45.57,87.43,276.69,12.11,-33.92,-70.25,반도체
ABBV,스윙,2015-01-02,361.02,14.07,-40.71,0.71,52.38,63,279.56,12.18,-48.88,81.46,276.69,12.11,-33.92,84.33,헬스케어
CRM,스윙,2015-01-02,306.9,12.85,-52.77,0.54,54.88,82,233.34,10.93,-59.19,73.56,276.69,12.11,-33.92,30.21,소프트웨어/클라우드
MCD,스윙,2015-01-02,214.9,10.39,-25.58,0.66,48.28,87,193.96,9.74,-38.01,20.94,276.69,12.11,-33.92,-61.79,임의소비재
JNJ,스윙,2015-01-02,163.6,8.71,-22.68,0.61,56.58,76,148.56,8.16,-27.83,15.04,276.69,12.11,-33.92,-113.09,헬스케어
CAT,스윙,2015-01-02,818.33,21.05,-40.96,0.83,55.26,76,817.9,21.05,-46.25,0.43,276.69,12.11,-33.92,541.64,산업재
BA,스윙,2015-01-02,74.7,4.92,-77.28,0.32,48.21,56,79.48,5.17,-78.44,-4.78,276.69,12.11,-33.92,-201.99,산업재
AMT,스윙,2015-01-02,64.64,4.39,-47.18,0.3,56.67,60,70.11,4.68,-48.07,-5.47,276.69,12.11,-33.92,-212.05,리츠/부동산
VZ,스윙,2015-01-02,-10.44,-0.95,-51.23,0.04,46.3,54,0.66,0.06,-50.59,-11.1,276.69,12.11,-33.92,-287.13,커뮤니케이션서비스
PFE,스윙,2015-01-02,-23.67,-2.3,-61.14,-0.0,52.83,53,-10.45,-0.95,-64.75,-13.22,276.69,12.11,-33.92,-300.36,헬스케어
UPS,스윙,2015-01-02,-19.9,-1.89,-62.87,0.05,37.93,58,-5.39,-0.48,-64.42,-14.51,276.69,12.11,-33.92,-296.59,산업재
SLB,스윙,2015-01-02,-52.11,-6.15,-88.01,0.01,43.18,44,-37.34,-3.95,-87.26,-14.77,276.69,12.11,-33.92,-328.8,에너지
O,스윙,2015-01-02,16.56,1.33,-50.98,0.18,48.78,41,31.37,2.38,-48.45,-14.81,276.69,12.11,-33.92,-260.13,리츠/부동산
PEP,스윙,2015-01-02,31.28,2.37,-32.86,0.22,48.15,81,46.56,3.35,-34.72,-15.28,276.69,12.11,-33.92,-245.41,필수소비재
SPG,스윙,2015-01-02,1.8,0.15,-78.44,0.17,54.24,59,18.45,1.47,-80.66,-16.65,276.69,12.11,-33.92,-274.89,리츠/부동산
PG,스윙,2015-01-02,42.46,3.1,-23.74,0.27,53.26,92,60.56,4.16,-25.71,-18.1,276.69,12.11,-33.92,-234.23,필수소비재
T,스윙,2015-01-02,-29.71,-2.99,-60.5,-0.03,47.27,55,-4.23,-0.37,-59.03,-25.48,276.69,12.11,-33.92,-306.4,커뮤니케이션서비스
WFC,스윙,2015-01-02,31.7,2.4,-56.5,0.22,39.34,61,59.87,4.13,-67.94,-28.17,276.69,12.11,-33.92,-244.99,금융/은행
NKE,스윙,2015-01-02,-43.13,-4.75,-73.39,-0.03,52.24,67,-13.04,-1.2,-77.04,-30.09,276.69,12.11,-33.92,-319.82,임의소비재
CVX,스윙,2015-01-02,39.08,2.88,-56.93,0.24,55.38,65,74.68,4.92,-59.42,-35.6,276.69,12.11,-33.92,-237.61,에너지
ADBE,스윙,2015-01-02,222.09,10.6,-67.79,0.51,55.29,85,264.54,11.79,-71.9,-42.45,276.69,12.11,-33.92,-54.6,소프트웨어/클라우드
COP,스윙,2015-01-02,26.93,2.08,-69.92,0.24,59.09,44,82.7,5.33,-71.62,-55.77,276.69,12.11,-33.92,-249.76,에너지
EOG,스윙,2015-01-02,-5.62,-0.5,-77.51,0.17,47.17,53,55.46,3.88,-77.51,-61.08,276.69,12.11,-33.92,-282.31,에너지
KO,스윙,2015-01-02,41.91,3.06,-31.7,0.27,48.28,87,105.22,6.39,-37.54,-63.31,276.69,12.11,-33.92,-234.78,필수소비재
XOM,스윙,2015-01-02,6.76,0.57,-65.31,0.15,44.83,58,72.14,4.79,-66.94,-65.38,276.69,12.11,-33.92,-269.93,에너지
COST,스윙,2015-01-02,491.26,16.55,-28.46,0.97,60.92,87,566.85,17.76,-31.51,-75.59,276.69,12.11,-33.92,214.57,필수소비재
HON,스윙,2015-01-02,64.24,4.37,-33.4,0.31,50.0,98,143.63,7.97,-43.32,-79.39,276.69,12.11,-33.92,-212.45,산업재
PLD,스윙,2015-01-02,128.01,7.36,-30.29,0.42,45.56,90,221.21,10.58,-48.12,-93.2,276.69,12.11,-33.92,-148.68,리츠/부동산
GS,스윙,2015-01-02,319.27,13.15,-38.81,0.61,55.43,92,432.08,15.49,-50.63,-112.81,276.69,12.11,-33.92,42.58,금융/은행
S&P500,스윙,2015-01-02,162.51,8.67,-24.06,0.64,53.85,104,275.48,12.08,-33.92,-112.97,276.69,12.11,-33.92,-114.18,S&P500
JPM,스윙,2015-01-02,308.59,12.89,-42.46,0.63,48.6,107,479.36,16.34,-43.99,-170.77,276.69,12.11,-33.92,31.9,금융/은행
ORCL,스윙,2015-01-02,53.12,3.74,-53.66,0.27,53.49,86,228.18,10.78,-64.98,-175.06,276.69,12.11,-33.92,-223.57,소프트웨어/클라우드
WMT,스윙,2015-01-02,114.06,6.78,-33.04,0.46,52.88,104,295.55,12.58,-37.64,-181.49,276.69,12.11,-33.92,-162.63,필수소비재
EQIX,스윙,2015-01-02,146.15,8.07,-41.78,0.47,46.81,94,355.5,13.96,-42.75,-209.35,276.69,12.11,-33.92,-130.54,리츠/부동산
BAC,스윙,2015-01-02,44.12,3.2,-52.07,0.25,44.05,84,257.54,11.6,-49.27,-213.42,276.69,12.11,-33.92,-232.57,금융/은행
GE,스윙,2015-01-02,-35.62,-3.72,-83.68,0.04,39.08,87,206.47,10.13,-82.66,-242.09,276.69,12.11,-33.92,-312.31,산업재
UNH,스윙,2015-01-02,48.6,3.47,-60.34,0.26,45.28,106,299.08,12.67,-61.97,-250.48,276.69,12.11,-33.92,-228.09,헬스케어
MS,스윙,2015-01-02,176.98,9.18,-46.87,0.46,52.33,86,455.59,15.92,-52.79,-278.61,276.69,12.11,-33.92,-99.71,금융/은행
META,스윙,2015-01-02,274.05,12.04,-76.46,0.51,47.83,92,663.7,19.15,-76.74,-389.65,276.69,12.11,-33.92,-2.64,커뮤니케이션서비스
MSFT,스윙,2015-01-02,541.12,17.36,-37.52,0.81,54.81,104,977.44,22.73,-37.56,-436.32,276.69,12.11,-33.92,264.43,소프트웨어/클라우드
TSM,스윙,2015-01-02,1325.89,25.73,-57.27,0.99,58.51,94,1794.34,28.85,-57.14,-468.45,276.69,12.11,-33.92,1049.2,반도체
AMZN,스윙,2015-01-02,1126.12,24.11,-57.84,0.91,60.19,103,1665.01,28.06,-56.15,-538.89,276.69,12.11,-33.92,849.43,임의소비재
GOOGL,스윙,2015-01-02,510.82,16.87,-42.47,0.75,53.85,91,1198.46,24.72,-44.32,-687.64,276.69,12.11,-33.92,234.13,커뮤니케이션서비스
NOW,스윙,2015-01-02,78.99,5.14,-69.79,0.32,53.77,106,846.42,21.37,-64.54,-767.43,276.69,12.11,-33.92,-197.7,소프트웨어/클라우드
LLY,스윙,2015-01-02,707.72,19.72,-38.53,0.9,47.0,100,1634.26,27.87,-34.83,-926.54,276.69,12.11,-33.92,431.03,헬스케어
NFLX,스윙,2015-01-02,254.82,11.53,-69.39,0.49,52.69,93,1400.34,26.28,-75.95,-1145.52,276.69,12.11,-33.92,-21.87,커뮤니케이션서비스
AVGO,스윙,2015-01-02,1361.84,26.0,-39.84,0.87,46.55,116,4057.06,37.87,-48.79,-2695.22,276.69,12.11,-33.92,1085.15,반도체
AMD,스윙,2015-01-02,4692.85,39.57,-59.63,0.93,56.52,92,17664.79,56.25,-65.45,-12971.94,276.69,12.11,-33.92,4416.16,반도체
NVDA,스윙,2015-01-02,5726.53,41.94,-60.82,1.07,53.15,111,43119.08,68.69,-66.36,-37392.55,276.69,12.11,-33.92,5449.84,반도체
