theme,style,data_start,cumulative_return,cagr,mdd,sharpe,win_rate,trade_count,bh_cumulative_return,bh_cagr,bh_mdd,excess_return,bench_cumulative_return,bench_cagr,bench_mdd,excess_return_vs_benchmark,sector
TSLA,장기,2015-01-02,3020.71,34.51,-65.05,0.95,100.0,10,2176.3,30.9,-73.63,844.41,276.69,12.11,-33.92,2744.02,임의소비재
QCOM,장기,2015-01-02,279.94,12.19,-42.34,0.55,80.0,10,119.01,6.99,-45.57,160.93,276.69,12.11,-33.92,3.25,반도체
VZ,장기,2015-01-02,46.33,3.33,-46.94,0.28,87.5,8,0.66,0.06,-50.59,45.67,276.69,12.11,-33.92,-230.36,커뮤니케이션서비스
AMT,장기,2015-01-02,113.62,6.76,-43.99,0.44,75.0,8,70.11,4.68,-48.07,43.51,276.69,12.11,-33.92,-163.07,리츠/부동산
JNJ,장기,2015-01-02,190.21,9.61,-22.54,0.75,100.0,12,148.56,8.16,-27.83,41.65,276.69,12.11,-33.92,-86.48,헬스케어
UPS,장기,2015-01-02,28.97,2.22,-56.15,0.21,66.67,6,-5.39,-0.48,-64.42,34.36,276.69,12.11,-33.92,-247.72,산업재
T,장기,2015-01-02,11.6,0.95,-43.04,0.15,50.0,8,-4.23,-0.37,-59.03,15.83,276.69,12.11,-33.92,-265.09,커뮤니케이션서비스
SPG,장기,2015-01-02,24.79,1.93,-77.43,0.22,57.14,7,18.45,1.47,-80.66,6.34,276.69,12.11,-33.92,-251.9,리츠/부동산
PFE,장기,2015-01-02,-6.59,-0.59,-60.37,0.06,66.67,6,-10.45,-0.95,-64.75,3.86,276.69,12.11,-33.92,-283.28,헬스케어
O,장기,2015-01-02,28.71,2.2,-42.75,0.21,60.0,5,31.37,2.38,-48.45,-2.66,276.69,12.11,-33.92,-247.98,리츠/부동산
PEP,장기,2015-01-02,42.91,3.12,-26.5,0.29,71.43,7,46.56,3.35,-34.72,-3.65,276.69,12.11,-33.92,-233.78,필수소비재
NKE,장기,2015-01-02,-17.55,-1.65,-57.04,0.07,57.14,7,-13.04,-1.2,-77.04,-4.51,276.69,12.11,-33.92,-294.24,임의소비재
HON,장기,2015-01-02,138.12,7.76,-39.33,0.52,88.89,9,143.63,7.97,-43.32,-5.51,276.69,12.11,-33.92,-138.57,산업재
ABBV,장기,2015-01-02,273.32,12.02,-34.62,0.74,87.5,8,279.56,12.18,-48.88,-6.24,276.69,12.11,-33.92,-3.37,헬스케어
KO,장기,2015-01-02,95.57,5.95,-22.51,0.56,100.0,7,105.22,6.39,-37.54,-9.65,276.69,12.11,-33.92,-181.12,필수소비재
SLB,장기,2015-01-02,-49.03,-5.64,-86.89,-0.01,50.0,4,-37.34,-3.95,-87.26,-11.69,276.69,12.11,-33.92,-325.72,에너지
MCD,장기,2015-01-02,162.12,8.66,-31.4,0.65,90.0,10,193.96,9.74,-38.01,-31.84,276.69,12.11,-33.92,-114.57,임의소비재
CVX,장기,2015-01-02,39.56,2.91,-54.91,0.24,75.0,8,74.68,4.92,-59.42,-35.12,276.69,12.11,-33.92,-237.13,에너지
PG,장기,2015-01-02,18.01,1.44,-22.67,0.18,60.0,5,60.56,4.16,-25.71,-42.55,276.69,12.11,-33.92,-258.68,필수소비재
BA,장기,2015-01-02,27.73,2.13,-75.44,0.23,71.43,7,79.48,5.17,-78.44,-51.75,276.69,12.11,-33.92,-248.96,산업재
