up_th,down_th,mean_sharpe,mean_cagr,mean_excess_cagr_vs_bench,median_excess_cagr_vs_bench,win_rate_vs_bh_pct,win_rate_vs_bench_pct,index_cagr,index_sharpe,index_mdd,index_excess_vs_bench
15.0,-25.0,0.438,8.08,-4.03,-6.76,22.0,22.0,4.56,0.41,-22.37,-7.55
15.0,-35.0,0.438,8.08,-4.03,-6.76,22.0,22.0,4.56,0.41,-22.37,-7.55
15.0,,0.438,8.08,-4.03,-6.76,22.0,22.0,4.56,0.41,-22.37,-7.55
15.0,-15.0,0.436,8.02,-4.09,-6.76,22.0,22.0,4.56,0.41,-22.37,-7.55
25.0,,0.421,7.1,-5.01,-6.09,20.0,16.0,4.56,0.41,-22.37,-7.55
25.0,-25.0,0.421,7.1,-5.01,-6.09,20.0,16.0,4.56,0.41,-22.37,-7.55
25.0,-35.0,0.421,7.1,-5.01,-6.09,20.0,16.0,4.56,0.41,-22.37,-7.55
25.0,-15.0,0.419,7.04,-5.07,-6.09,20.0,16.0,4.56,0.41,-22.37,-7.55
35.0,,0.412,6.75,-5.36,-6.58,22.0,12.0,4.56,0.41,-22.37,-7.55
35.0,-35.0,0.412,6.75,-5.36,-6.58,22.0,12.0,4.56,0.41,-22.37,-7.55
35.0,-25.0,0.411,6.75,-5.36,-6.58,22.0,12.0,4.56,0.41,-22.37,-7.55
35.0,-15.0,0.41,6.69,-5.42,-6.58,22.0,12.0,4.56,0.41,-22.37,-7.55
50.0,,0.405,6.47,-5.64,-6.59,20.0,12.0,4.56,0.41,-22.37,-7.55
50.0,-25.0,0.405,6.47,-5.64,-6.59,20.0,12.0,4.56,0.41,-22.37,-7.55
50.0,-35.0,0.405,6.47,-5.64,-6.59,20.0,12.0,4.56,0.41,-22.37,-7.55
50.0,-15.0,0.403,6.41,-5.7,-6.59,20.0,10.0,4.56,0.41,-22.37,-7.55
,-35.0,0.393,5.83,-6.28,-6.97,18.0,10.0,4.56,0.41,-22.37,-7.55
,,0.393,5.83,-6.28,-6.97,18.0,10.0,4.56,0.41,-22.37,-7.55
,-25.0,0.392,5.82,-6.29,-6.97,18.0,10.0,4.56,0.41,-22.37,-7.55
,-15.0,0.391,5.77,-6.34,-6.97,16.0,8.0,4.56,0.41,-22.37,-7.55
