ticker,sector,cagr,mdd,sharpe,excess_cagr,excess_vs_bench,beats_bh,beats_bench
TSLA,임의소비재,32.37,-73.63,0.78,1.4699999999999989,20.259999999999998,True,True
QCOM,반도체,10.38,-45.57,0.45,3.3900000000000006,-1.7299999999999986,True,False
VZ,커뮤니케이션서비스,0.0,-50.32,0.1,-0.06,-12.11,False,False
AMT,리츠/부동산,3.08,-48.07,0.25,-1.5999999999999996,-9.03,False,False
JNJ,헬스케어,9.13,-27.83,0.58,0.9700000000000006,-2.9799999999999986,True,False
UPS,산업재,-0.06,-64.42,0.13,0.42,-12.17,True,False
T,커뮤니케이션서비스,1.06,-54.85,0.16,1.4300000000000002,-11.049999999999999,True,False
SPG,리츠/부동산,1.99,-80.66,0.23,0.52,-10.12,True,False
PFE,헬스케어,-2.41,-60.37,-0.01,-1.4600000000000002,-14.52,False,False
O,리츠/부동산,3.06,-48.45,0.25,0.6800000000000002,-9.049999999999999,True,False
PEP,필수소비재,1.96,-34.72,0.2,-1.3900000000000001,-10.149999999999999,False,False
NKE,임의소비재,-1.2,-77.04,0.12,0.0,-13.309999999999999,False,False
HON,산업재,7.02,-43.32,0.42,-0.9500000000000002,-5.09,False,False
ABBV,헬스케어,14.14,-48.88,0.64,1.9600000000000009,2.030000000000001,True,True
KO,필수소비재,6.69,-37.54,0.45,0.3000000000000007,-5.419999999999999,True,False
SLB,에너지,-3.95,-87.26,0.09,0.0,-16.06,False,False
MCD,임의소비재,9.74,-38.01,0.56,0.0,-2.369999999999999,False,False
CVX,에너지,4.92,-59.42,0.31,0.0,-7.1899999999999995,False,False
PG,필수소비재,3.83,-27.04,0.31,-0.33000000000000007,-8.28,False,False
BA,산업재,5.17,-78.44,0.33,0.0,-6.9399999999999995,False,False
WFC,금융/은행,7.09,-62.73,0.38,2.96,-5.02,True,False
EOG,에너지,3.88,-77.51,0.29,0.0,-8.23,False,False
HD,임의소비재,10.86,-38.41,0.57,-0.33999999999999986,-1.25,False,False
XOM,에너지,-2.36,-66.94,0.01,-7.15,-14.469999999999999,False,False
PLD,리츠/부동산,9.6,-48.12,0.49,-0.9800000000000004,-2.51,False,False
COP,에너지,5.33,-71.62,0.33,0.0,-6.779999999999999,False,False
ORCL,소프트웨어/클라우드,6.71,-64.98,0.36,-4.069999999999999,-5.3999999999999995,False,False
UNH,헬스케어,12.67,-61.97,0.56,0.0,0.5600000000000005,False,True
BAC,금융/은행,9.08,-49.27,0.45,-2.5199999999999996,-3.0299999999999994,False,False
CRM,소프트웨어/클라우드,10.0,-59.19,0.45,-0.9299999999999997,-2.1099999999999994,False,False
WMT,필수소비재,15.01,-37.64,0.77,2.4299999999999997,2.9000000000000004,True,True
GE,산업재,10.54,-82.3,0.46,0.40999999999999837,-1.5700000000000003,True,False
EQIX,리츠/부동산,8.84,-42.75,0.49,-5.120000000000001,-3.2699999999999996,False,False
ADBE,소프트웨어/클라우드,10.92,-71.9,0.48,-0.8699999999999992,-1.1899999999999995,False,False
GS,금융/은행,15.61,-45.95,0.67,0.11999999999999922,3.5,True,True
COST,필수소비재,17.76,-31.51,0.87,0.0,5.650000000000002,False,True
META,커뮤니케이션서비스,12.53,-76.74,0.51,-6.619999999999999,0.41999999999999993,False,True
MS,금융/은행,15.92,-52.79,0.63,0.0,3.8100000000000005,False,True
JPM,금융/은행,16.48,-34.22,0.72,0.14000000000000057,4.370000000000001,True,True
MSFT,소프트웨어/클라우드,17.03,-37.56,0.75,-5.699999999999999,4.920000000000002,False,True
CAT,산업재,21.05,-46.25,0.78,0.0,8.940000000000001,False,True
NOW,소프트웨어/클라우드,21.37,-64.54,0.68,0.0,9.260000000000002,False,True
GOOGL,커뮤니케이션서비스,22.55,-44.32,0.88,-2.169999999999998,10.440000000000001,False,True
NFLX,커뮤니케이션서비스,26.28,-75.95,0.77,0.0,14.170000000000002,False,True
LLY,헬스케어,27.23,-34.83,0.99,-0.6400000000000006,15.120000000000001,False,True
TSM,반도체,28.85,-57.14,0.92,0.0,16.740000000000002,False,True
AMZN,임의소비재,28.06,-56.15,0.91,0.0,15.95,False,True
AVGO,반도체,25.82,-48.79,0.89,-12.049999999999997,13.71,False,True
AMD,반도체,56.25,-65.45,1.04,0.0,44.14,False,True
NVDA,반도체,68.69,-66.36,1.33,0.0,56.58,False,True
S&P500,S&P500,10.6,-25.43,0.71,-1.4800000000000004,-1.5099999999999998,False,False
