weighting,target_vol,base,cumulative_return,cagr,mdd,sharpe,win_rate,avg_holding_days,trade_count,profit_factor,calmar,avg_drawdown_days
equal,10.0,strategy,99.19,6.11,-15.68,0.62,0.0,0.0,0,0.0,0.39,42.4
equal,10.0,bh,99.27,6.12,-15.49,0.62,0.0,0.0,0,0.0,0.39,43.0
equal,12.0,strategy,126.66,7.3,-16.9,0.66,0.0,0.0,0,0.0,0.43,38.4
equal,12.0,bh,127.01,7.31,-17.06,0.65,0.0,0.0,0,0.0,0.43,40.5
equal,15.0,strategy,165.13,8.76,-19.43,0.7,0.0,0.0,0,0.0,0.45,32.6
equal,15.0,bh,166.66,8.81,-19.39,0.69,0.0,0.0,0,0.0,0.45,32.3
equal,18.0,strategy,202.83,10.01,-22.3,0.74,0.0,0.0,0,0.0,0.45,30.6
equal,18.0,bh,203.94,10.04,-22.25,0.73,0.0,0.0,0,0.0,0.45,30.9
risk_parity,10.0,strategy,118.17,6.95,-13.28,0.72,0.0,0.0,0,0.0,0.52,34.3
risk_parity,12.0,strategy,147.22,8.1,-15.76,0.75,0.0,0.0,0,0.0,0.51,30.8
risk_parity,15.0,strategy,183.37,9.38,-18.74,0.78,0.0,0.0,0,0.0,0.5,27.0
